pathway_id,gene
PW2,G273
PW45,G209
PW19,G378
PW1,G383
PW20,G176
PW33,G180
PW9,G120
PW28,G327
PW25,G165
PW14,G206
PW48,G153
PW26,G245
PW13,G302
PW9,G63
PW26,G133
PW29,G377
PW21,G131
PW22,G117
PW24,G158
PW13,G287
PW44,G125
PW32,G320
PW24,G261
PW35,G272
PW32,G187
PW9,G350
PW8,G235
PW26,G168
PW34,G3
PW37,G244
PW22,G44
PW18,G383
PW40,G341
PW20,G117
PW22,G370
PW15,G58
PW13,G257
PW9,G348
PW11,G152
PW2,G334
PW17,G33
PW1,G211
PW32,G238
PW30,G247
PW48,G23
PW38,G49
PW44,G386
PW44,G102
PW17,G306
PW4,G3
PW14,G89
PW14,G310
PW8,G38
PW36,G111
PW3,G222
PW46,G342
PW9,G75
PW40,G254
PW19,G282
PW7,G226
PW28,G297
PW37,G175
PW23,G280
PW11,G291
PW49,G376
PW34,G386
PW14,G388
PW24,G396
PW10,G259
PW43,G271
PW27,G348
PW17,G187
PW23,G228
PW9,G331
PW22,G157
PW13,G362
PW33,G221
PW45,G65
PW23,G85
PW48,G243
PW1,G225
PW39,G133
PW11,G367
PW34,G141
PW13,G334
PW41,G228
PW36,G279
PW6,G4
PW35,G390
PW35,G118
PW12,G33
PW8,G264
PW11,G379
PW26,G315
PW13,G169
PW45,G224
PW47,G70
PW39,G373
PW33,G119
PW43,G296
PW2,G166
PW22,G24
PW9,G371
PW45,G367
PW7,G47
PW29,G88
PW10,G178
PW1,G203
PW1,G87
PW28,G247
PW32,G329
PW35,G135
PW49,G309
PW21,G306
PW2,G57
PW26,G214
PW11,G52
PW45,G90
PW4,G255
PW40,G144
PW40,G1
PW14,G314
PW23,G327
PW48,G247
PW38,G74
PW13,G266
PW26,G233
PW34,G157
PW28,G114
PW40,G223
PW5,G201
PW7,G343
PW30,G170
PW34,G190
PW33,G193
PW47,G91
PW43,G85
PW38,G326
PW23,G51
PW38,G228
PW31,G251
PW15,G392
PW30,G249
PW34,G179
PW29,G394
PW49,G356
PW27,G20
PW13,G154
PW31,G159
PW48,G180
PW5,G92
PW8,G351
PW47,G93
PW0,G394
PW28,G277
PW37,G142
PW20,G107
PW30,G58
PW44,G8
PW33,G295
PW4,G349
PW32,G20
PW4,G55
PW11,G1
PW19,G275
PW14,G312
PW17,G394
PW20,G292
PW23,G212
PW16,G256
PW10,G113
PW8,G160
PW0,G368
PW5,G251
PW1,G224
PW19,G84
PW0,G14
PW36,G239
PW43,G79
PW29,G318
PW47,G180
PW24,G286
PW24,G308
PW35,G195
PW8,G176
PW46,G58
PW36,G341
PW42,G322
PW9,G283
PW43,G90
PW31,G64
PW36,G237
PW43,G321
PW31,G153
PW16,G271
PW3,G262
PW29,G318
PW5,G12
PW10,G148
PW3,G320
PW2,G246
PW44,G347
PW22,G396
PW0,G66
PW34,G231
PW44,G278
PW12,G98
PW4,G342
PW49,G125
PW22,G367
PW48,G100
PW17,G311
PW27,G244
PW18,G67
PW41,G293
PW35,G46
PW15,G58
PW37,G67
PW29,G87
PW36,G340
PW33,G325
PW11,G96
PW13,G165
PW40,G245
PW44,G334
PW17,G271
PW36,G266
PW18,G270
PW38,G365
PW35,G377
PW6,G255
PW19,G38
PW33,G24
PW45,G264
PW35,G382
PW17,G383
PW40,G156
PW17,G156
PW16,G116
PW46,G301
PW46,G107
PW34,G163
PW4,G46
PW12,G95
PW32,G326
PW44,G281
PW30,G110
PW40,G249
PW16,G246
PW11,G391
PW10,G13
PW15,G341
PW6,G328
PW36,G56
PW10,G371
PW45,G66
PW8,G396
PW3,G133
PW33,G131
PW4,G304
PW35,G318
PW2,G126
PW9,G14
PW26,G248
PW39,G281
PW19,G382
PW41,G333
PW18,G83
PW20,G16
PW14,G148
PW48,G353
PW14,G139
PW9,G47
PW18,G378
PW28,G157
PW0,G264
PW38,G295
PW38,G124
PW31,G396
PW8,G359
PW40,G223
PW42,G42
PW17,G309
PW11,G115
PW15,G262
PW44,G287
PW38,G163
PW14,G373
PW39,G11
PW13,G172
PW2,G320
PW32,G282
PW29,G96
PW17,G237
PW11,G59
PW28,G233
PW23,G338
PW5,G380
PW44,G29
PW20,G160
PW27,G302
PW2,G313
PW15,G132
PW49,G16
PW35,G383
PW8,G312
PW14,G315
PW4,G208
PW23,G167
PW26,G244
PW39,G130
PW35,G312
PW3,G267
PW7,G35
PW31,G130
PW20,G44
PW4,G219
PW48,G161
PW31,G325
PW44,G390
PW8,G127
PW29,G144
PW6,G68
PW31,G119
PW13,G4
PW23,G298
PW0,G352
PW8,G384
PW44,G183
PW25,G204
PW17,G176
PW30,G385
PW25,G326
PW26,G148
PW7,G219
PW45,G377
PW22,G299
PW15,G25
PW30,G32
PW42,G196
PW33,G229
PW19,G115
PW46,G128
PW5,G301
PW41,G302
PW34,G58
PW37,G3
PW4,G114
PW30,G389
PW49,G127
PW29,G65
PW26,G168
PW31,G237
PW12,G373
PW32,G366
PW45,G182
PW24,G338
PW39,G224
PW35,G309
PW49,G294
PW26,G373
PW33,G393
PW3,G49
PW16,G15
PW13,G340
PW2,G221
PW11,G290
PW4,G43
PW35,G173
PW46,G267
PW3,G399
PW24,G25
PW41,G351
PW25,G299
PW0,G197
PW42,G321
PW17,G398
PW30,G324
PW45,G299
PW2,G160
PW7,G366
PW12,G191
