pathway_id,gene
PW0,G326
PW2,G249
PW29,G281
PW8,G253
PW9,G283
PW35,G398
PW17,G119
PW37,G222
PW0,G355
PW9,G57
PW20,G187
PW22,G229
PW33,G274
PW9,G318
PW15,G253
PW12,G368
PW24,G17
PW47,G267
PW23,G199
PW1,G331
PW6,G394
PW10,G355
PW24,G141
PW11,G13
PW16,G227
PW23,G75
PW34,G167
PW40,G315
PW13,G272
PW8,G245
PW38,G168
PW27,G370
PW23,G306
PW35,G371
PW41,G19
PW32,G58
PW38,G291
PW38,G232
PW44,G40
PW20,G81
PW8,G218
PW39,G270
PW35,G393
PW14,G3
PW41,G342
PW7,G209
PW32,G250
PW45,G82
PW32,G93
PW42,G281
PW16,G45
PW23,G327
PW15,G52
PW19,G246
PW41,G377
PW2,G105
PW15,G299
PW43,G175
PW2,G52
PW43,G264
PW6,G172
PW21,G228
PW14,G159
PW34,G216
PW43,G228
PW40,G212
PW14,G214
PW12,G109
PW48,G369
PW42,G334
PW26,G275
PW10,G333
PW47,G125
PW39,G24
PW15,G299
PW38,G144
PW38,G330
PW46,G262
PW47,G266
PW46,G133
PW36,G226
PW19,G211
PW25,G64
PW26,G4
PW9,G204
PW40,G66
PW30,G290
PW5,G223
PW4,G88
PW39,G181
PW16,G335
PW7,G271
PW31,G328
PW6,G233
PW6,G169
PW43,G338
PW35,G117
PW8,G342
PW36,G336
PW30,G330
PW48,G373
PW49,G3
PW37,G382
PW26,G285
PW5,G274
PW35,G212
PW27,G103
PW22,G176
PW48,G271
PW24,G87
PW25,G131
PW26,G53
PW41,G59
PW2,G144
PW31,G396
PW35,G102
PW36,G32
PW39,G262
PW40,G181
PW4,G332
PW21,G299
PW29,G378
PW1,G93
PW8,G125
PW16,G176
PW11,G80
PW26,G33
PW10,G6
PW28,G290
PW28,G282
PW33,G103
PW33,G92
PW6,G267
PW29,G320
PW44,G122
PW39,G24
PW26,G262
PW21,G360
PW24,G66
PW2,G16
PW24,G67
PW2,G214
PW48,G146
PW32,G232
PW38,G197
PW34,G38
PW37,G123
PW32,G244
PW1,G371
PW41,G127
PW14,G1
PW33,G16
PW11,G58
PW41,G214
PW12,G274
PW0,G110
PW42,G134
PW2,G19
PW38,G128
PW37,G193
PW33,G142
PW40,G279
PW0,G80
PW45,G24
PW23,G118
PW5,G248
PW43,G65
PW12,G85
PW17,G66
PW2,G360
PW19,G257
PW26,G239
PW9,G296
PW37,G293
PW1,G290
PW30,G292
PW14,G31
PW33,G267
PW13,G316
PW4,G94
PW47,G58
PW1,G317
PW28,G139
PW42,G139
PW48,G229
PW24,G285
PW8,G164
PW48,G286
PW40,G343
PW5,G68
PW0,G295
