pathway_id,gene
PW3,G245
PW4,G94
PW1,G291
PW14,G331
PW24,G3
PW4,G306
PW0,G120
PW15,G132
PW18,G25
PW12,G139
PW31,G368
PW3,G88
PW27,G287
PW45,G212
PW19,G31
PW36,G280
PW34,G214
PW37,G302
PW10,G130
PW27,G165
PW42,G65
PW47,G298
PW46,G157
PW5,G310
PW48,G340
PW41,G371
PW23,G88
PW20,G335
PW20,G166
PW16,G31
PW45,G341
PW20,G354
PW23,G368
PW35,G243
PW49,G366
PW36,G223
PW14,G25
PW32,G152
PW30,G294
PW24,G58
PW40,G388
PW23,G187
PW35,G109
PW4,G361
PW5,G28
PW4,G304
PW1,G318
PW4,G195
PW8,G242
PW33,G271
PW46,G110
PW36,G309
PW48,G250
PW48,G39
PW37,G196
PW28,G318
PW14,G230
PW23,G251
PW48,G262
PW2,G310
PW45,G119
PW13,G257
PW41,G87
PW43,G158
PW38,G261
PW43,G370
PW40,G49
PW22,G374
PW45,G168
PW2,G157
PW25,G80
PW49,G187
PW14,G331
PW43,G362
PW8,G313
PW26,G127
PW34,G154
PW7,G58
PW1,G103
PW36,G110
PW25,G203
PW48,G199
PW40,G186
PW33,G332
PW33,G377
PW37,G240
PW35,G158
PW0,G348
PW45,G58
PW49,G103
PW26,G115
PW33,G220
PW48,G38
PW2,G367
PW11,G28
PW45,G225
PW19,G277
PW25,G293
PW16,G157
PW2,G384
PW49,G356
PW38,G32
PW32,G66
PW43,G156
PW42,G396
PW29,G223
PW47,G342
PW24,G204
PW46,G219
PW19,G16
PW1,G111
PW17,G102
PW15,G150
PW45,G74
PW22,G17
PW38,G333
PW1,G214
PW23,G243
PW34,G295
PW24,G289
PW37,G332
PW48,G125
PW41,G144
PW30,G394
PW0,G398
PW39,G197
PW35,G277
PW9,G359
PW14,G380
PW49,G383
PW8,G173
PW17,G250
PW16,G132
PW3,G25
PW45,G167
PW6,G274
PW22,G88
PW11,G146
PW45,G397
PW21,G197
PW35,G377
PW17,G14
PW35,G282
PW15,G286
PW46,G14
PW35,G373
PW1,G292
PW38,G361
PW29,G222
PW46,G329
PW28,G163
PW8,G66
PW9,G334
PW29,G324
PW26,G266
PW32,G95
PW16,G377
PW22,G27
PW37,G390
PW14,G155
PW29,G72
PW24,G308
PW26,G80
PW14,G325
PW42,G121
PW35,G146
PW38,G47
PW23,G192
PW10,G24
PW17,G261
PW9,G355
PW12,G190
PW36,G167
PW47,G250
PW39,G148
PW9,G62
PW11,G65
PW36,G386
PW19,G151
PW25,G320
PW14,G144
PW33,G117
PW44,G238
PW31,G247
PW31,G256
PW1,G251
PW10,G182
PW44,G129
PW17,G85
PW3,G197
PW35,G303
PW9,G224
PW28,G14
PW19,G114
PW39,G328
PW40,G16
PW5,G232
PW12,G83
PW16,G338
PW45,G381
PW44,G172
PW25,G206
PW26,G165
PW26,G297
PW6,G111
PW25,G347
PW0,G171
PW47,G291
PW5,G137
PW6,G40
PW14,G119
PW2,G218
PW35,G374
PW39,G208
PW41,G355
PW15,G189
PW15,G141
PW14,G41
PW29,G198
PW8,G102
PW23,G3
PW29,G385
PW7,G174
PW42,G189
PW28,G289
PW40,G130
PW26,G58
PW0,G264
PW10,G264
PW45,G56
PW27,G376
PW30,G178
PW3,G176
PW14,G207
PW4,G339
PW23,G322
PW39,G219
PW0,G388
PW36,G117
PW1,G40
PW8,G294
PW7,G52
PW11,G270
PW21,G117
PW1,G81
PW24,G150
PW44,G295
PW30,G218
PW21,G341
PW31,G393
PW30,G233
PW39,G355
PW32,G216
PW15,G128
PW26,G314
PW45,G133
PW49,G193
PW37,G59
PW4,G13
PW22,G327
PW5,G12
PW9,G153
PW0,G193
PW4,G208
PW3,G16
PW1,G176
PW48,G45
PW13,G46
PW34,G232
