pathway_id,gene
PW39,G391
PW40,G342
PW26,G122
PW15,G251
PW11,G368
PW43,G135
PW24,G212
PW49,G295
PW30,G353
PW47,G358
PW38,G1
PW30,G157
PW6,G334
PW3,G381
PW2,G146
PW38,G164
PW49,G270
PW6,G122
PW19,G192
PW38,G20
PW49,G209
PW12,G325
PW37,G118
PW27,G223
PW27,G215
PW8,G394
PW4,G58
PW37,G369
PW23,G251
PW6,G214
PW11,G134
PW31,G254
PW5,G125
PW12,G153
PW29,G240
PW27,G222
PW2,G32
PW45,G41
PW48,G12
PW31,G24
PW18,G239
PW37,G248
PW11,G177
PW5,G250
PW15,G251
PW6,G312
PW28,G201
PW38,G62
PW36,G152
PW42,G35
PW40,G216
PW32,G59
PW21,G47
PW22,G321
PW28,G174
PW14,G18
PW18,G366
PW0,G326
PW28,G220
PW45,G156
PW30,G155
PW19,G393
PW48,G168
PW14,G311
PW9,G307
PW30,G156
PW12,G334
PW20,G247
PW29,G383
PW39,G387
PW34,G94
PW17,G215
PW20,G16
PW29,G333
PW2,G148
PW3,G371
PW35,G117
PW48,G72
PW19,G28
PW1,G279
PW25,G47
PW31,G250
PW35,G326
PW3,G360
PW45,G354
PW8,G361
PW0,G13
PW40,G205
PW1,G218
PW10,G91
PW38,G270
PW10,G396
PW23,G348
PW35,G377
PW15,G142
PW23,G383
PW19,G137
PW4,G66
PW36,G247
PW38,G235
PW38,G1
PW42,G76
PW9,G274
PW21,G394
PW25,G375
PW37,G155
PW43,G85
PW7,G373
PW44,G344
PW17,G196
PW2,G163
PW11,G361
PW36,G232
PW17,G103
PW19,G80
PW9,G394
PW29,G310
PW46,G141
PW27,G83
PW45,G331
PW45,G228
PW6,G16
PW29,G144
PW28,G212
PW26,G362
PW3,G79
PW23,G52
PW7,G208
PW38,G175
PW9,G94
PW33,G128
PW39,G168
PW44,G67
PW48,G360
PW15,G167
PW48,G312
PW20,G256
PW0,G64
PW13,G180
PW34,G195
PW28,G44
PW15,G395
PW8,G163
PW0,G14
PW34,G295
PW37,G58
PW48,G338
PW8,G396
PW38,G132
PW33,G158
PW30,G285
PW38,G117
PW25,G182
PW14,G66
PW21,G181
PW49,G144
PW38,G193
PW29,G352
PW11,G47
PW31,G281
PW4,G367
PW26,G374
PW27,G309
PW20,G278
PW0,G305
PW43,G338
PW2,G87
PW3,G317
PW49,G53
PW18,G343
PW2,G124
PW42,G314
PW32,G114
PW17,G65
PW9,G303
PW22,G191
PW33,G241
PW4,G378
PW10,G133
PW3,G117
PW42,G388
PW11,G393
PW49,G271
PW38,G4
PW0,G289
PW16,G287
PW39,G252
PW25,G306
PW30,G190
PW44,G262
PW1,G355
PW14,G197
PW36,G221
PW29,G30
PW27,G261
PW25,G295
PW24,G334
PW42,G352
PW13,G297
PW24,G282
PW35,G24
PW28,G261
PW24,G378
PW20,G363
PW20,G168
PW8,G256
PW41,G17
PW22,G254
PW27,G206
PW9,G327
PW0,G384
PW10,G29
PW15,G227
PW41,G255
PW16,G192
PW45,G70
PW11,G211
PW26,G163
PW44,G74
PW27,G47
PW15,G292
PW35,G16
PW45,G158
PW4,G203
PW44,G131
PW37,G246
PW43,G31
PW13,G129
PW12,G197
PW8,G171
PW47,G209
PW6,G267
PW13,G160
PW14,G253
PW32,G189
PW14,G278
PW45,G203
PW42,G169
PW46,G58
PW15,G247
PW45,G340
PW31,G165
PW17,G309
PW14,G148
PW29,G377
PW17,G369
PW13,G340
PW45,G247
