pathway_id,gene
PW14,G388
PW2,G393
PW49,G166
PW3,G63
PW27,G32
PW33,G393
PW19,G282
PW44,G220
PW30,G31
PW35,G334
PW26,G302
PW31,G66
PW19,G92
PW18,G56
PW17,G244
PW25,G114
PW9,G310
PW48,G259
PW9,G330
PW39,G126
PW8,G76
PW8,G58
PW37,G189
PW3,G47
PW30,G262
PW38,G3
PW19,G94
PW34,G358
PW37,G316
PW45,G352
PW3,G383
PW9,G373
PW11,G74
PW18,G80
PW12,G367
PW15,G253
PW45,G383
PW18,G327
PW11,G385
PW20,G157
PW5,G298
PW18,G181
PW11,G388
PW12,G153
PW47,G333
PW26,G121
PW23,G33
PW43,G394
PW25,G257
PW31,G69
PW8,G87
PW16,G20
PW30,G187
PW31,G53
PW18,G267
PW48,G137
PW17,G318
PW27,G301
PW37,G116
PW33,G69
PW1,G287
PW1,G253
PW14,G374
PW10,G167
PW28,G188
PW38,G66
PW17,G274
PW21,G167
PW26,G56
PW36,G219
PW22,G176
PW14,G270
PW49,G25
PW19,G230
PW15,G146
PW22,G47
PW15,G232
PW7,G225
PW31,G113
PW38,G377
PW21,G148
PW37,G19
PW32,G58
PW25,G299
PW19,G94
PW21,G208
PW14,G4
PW31,G228
PW4,G51
PW5,G377
PW31,G281
PW11,G311
PW36,G197
PW43,G18
PW25,G279
PW24,G88
PW15,G309
PW26,G49
PW29,G125
PW41,G148
PW35,G17
PW37,G214
PW44,G1
PW29,G299
PW26,G281
PW23,G366
PW1,G87
PW2,G225
PW36,G146
PW10,G320
PW27,G383
PW30,G304
PW30,G8
PW32,G291
PW6,G127
PW15,G134
PW11,G120
PW11,G191
PW48,G92
PW35,G244
PW2,G335
PW30,G155
PW33,G181
PW29,G98
PW44,G123
PW45,G374
PW6,G325
PW14,G117
PW10,G75
PW28,G334
PW34,G38
PW33,G175
PW49,G227
PW4,G13
PW2,G340
PW30,G244
PW30,G8
PW11,G74
PW14,G220
PW3,G385
PW32,G28
PW40,G254
PW35,G157
PW2,G74
PW24,G362
PW12,G46
PW46,G6
PW36,G159
PW18,G156
PW29,G266
PW35,G258
PW11,G218
PW44,G33
PW29,G255
PW25,G96
PW2,G247
PW4,G328
PW9,G63
PW28,G369
PW13,G262
PW3,G281
PW25,G396
PW16,G58
PW15,G70
PW12,G295
PW37,G383
PW29,G132
PW47,G333
PW35,G356
PW45,G249
PW22,G56
PW15,G263
PW17,G207
PW10,G376
PW9,G214
PW39,G16
PW9,G193
PW46,G204
PW29,G373
PW4,G183
PW24,G244
PW32,G233
PW36,G93
PW0,G396
PW7,G187
PW7,G66
PW0,G379
PW35,G31
PW4,G46
PW43,G224
PW10,G338
PW43,G109
PW39,G368
PW33,G386
PW43,G318
PW16,G76
PW17,G251
PW1,G187
PW42,G389
PW29,G58
PW29,G190
PW48,G158
PW15,G128
PW38,G167
PW8,G301
PW37,G247
PW15,G154
PW15,G209
PW26,G370
PW34,G295
PW24,G377
PW46,G132
PW27,G133
PW14,G352
PW0,G163
PW5,G302
PW35,G195
PW38,G295
PW45,G394
PW14,G357
PW10,G118
PW35,G246
PW19,G321
PW43,G249
PW29,G144
PW31,G180
PW29,G361
PW44,G17
PW14,G231
PW29,G27
PW26,G73
PW41,G182
PW37,G131
PW36,G261
PW17,G377
PW48,G31
PW46,G190
PW7,G52
PW37,G293
PW11,G284
PW19,G347
PW41,G222
PW28,G390
PW26,G158
PW39,G145
PW2,G182
PW26,G131
PW43,G142
PW9,G53
PW0,G335
PW30,G257
PW32,G14
PW6,G315
PW13,G330
PW23,G24
PW17,G88
PW22,G189
PW33,G393
PW8,G198
PW35,G177
PW2,G247
PW6,G83
PW23,G382
PW3,G342
PW38,G49
PW8,G24
PW44,G361
PW48,G51
PW23,G208
PW35,G314
PW17,G224
PW25,G175
PW38,G245
PW48,G74
PW45,G186
PW34,G295
PW21,G396
PW9,G285
PW34,G256
PW18,G226
PW3,G120
PW14,G349
PW12,G228
PW0,G40
PW22,G52
PW49,G159
PW49,G373
PW32,G156
PW28,G305
PW23,G227
PW14,G386
PW24,G32
PW28,G130
PW14,G117
PW12,G107
PW42,G211
PW36,G35
PW2,G326
PW12,G3
PW35,G154
PW21,G373
PW22,G342
PW16,G270
PW33,G306
PW42,G160
PW38,G218
PW21,G343
PW0,G141
PW48,G155
PW16,G262
PW4,G308
PW45,G178
PW2,G273
PW14,G308
PW30,G165
PW1,G294
PW1,G279
PW7,G384
PW28,G290
PW2,G128
PW28,G23
PW45,G214
PW22,G395
PW31,G119
PW8,G254
PW44,G67
PW0,G152
PW30,G267
PW23,G333
PW7,G299
PW15,G144
PW40,G382
