pathway_id,gene
PW29,G152
PW17,G160
PW17,G142
PW26,G3
PW17,G235
PW30,G383
PW47,G180
PW27,G306
PW0,G24
PW32,G133
PW26,G342
PW18,G233
PW34,G133
PW41,G295
PW26,G196
PW14,G222
PW23,G291
PW9,G345
PW24,G14
PW9,G94
PW23,G283
PW39,G314
PW5,G298
PW12,G120
PW44,G389
PW12,G15
PW28,G182
PW26,G329
PW25,G250
PW14,G287
PW46,G256
PW37,G278
PW24,G200
PW12,G335
PW5,G366
PW31,G297
PW8,G116
PW15,G14
PW12,G107
PW17,G229
PW9,G219
PW43,G320
PW13,G33
PW1,G120
PW12,G299
PW14,G37
PW29,G366
PW19,G332
PW37,G125
PW29,G286
PW42,G88
PW1,G254
PW44,G231
PW6,G31
PW25,G165
PW28,G23
PW17,G96
PW41,G67
PW27,G335
PW9,G66
PW28,G64
PW3,G108
PW23,G38
PW11,G230
PW12,G277
PW1,G111
PW6,G163
PW30,G360
PW1,G341
PW15,G226
PW41,G229
PW19,G332
PW44,G31
PW3,G322
PW3,G153
PW1,G354
PW4,G33
PW25,G51
PW0,G336
PW29,G255
PW15,G299
PW39,G287
PW46,G259
PW30,G245
PW48,G294
PW13,G373
PW24,G6
PW30,G153
PW33,G221
PW34,G98
PW30,G59
PW31,G342
PW6,G53
PW32,G321
PW46,G139
PW22,G33
PW45,G103
PW10,G180
PW14,G16
PW29,G95
PW38,G305
PW28,G86
PW4,G130
PW26,G361
PW18,G340
PW25,G227
PW23,G67
PW29,G343
PW29,G8
PW48,G327
PW22,G317
PW25,G253
PW2,G363
PW23,G167
PW42,G206
PW44,G146
PW33,G144
PW3,G378
PW35,G329
PW2,G350
PW9,G224
PW28,G83
PW16,G58
PW28,G113
PW7,G337
PW31,G244
PW43,G399
PW9,G3
PW47,G3
PW6,G92
PW23,G251
PW14,G114
PW35,G66
PW21,G193
PW38,G66
PW32,G277
PW31,G377
PW37,G74
PW49,G81
PW0,G53
PW47,G165
PW48,G253
PW16,G25
PW31,G382
PW11,G157
PW44,G321
PW31,G281
PW37,G175
PW49,G187
PW10,G109
PW28,G155
PW34,G195
PW30,G375
PW33,G18
PW9,G386
PW45,G374
PW21,G214
PW42,G283
PW35,G191
PW13,G40
PW4,G125
PW44,G172
PW22,G228
PW2,G58
PW32,G351
PW18,G146
PW21,G223
PW32,G180
PW17,G351
PW13,G393
PW48,G219
PW3,G92
PW6,G127
PW9,G330
PW40,G47
PW35,G198
PW5,G250
PW40,G141
PW5,G308
PW21,G88
PW44,G25
PW35,G212
PW39,G274
PW35,G308
PW7,G170
PW36,G13
PW24,G320
PW37,G68
PW32,G197
PW36,G374
PW41,G341
PW13,G174
PW20,G302
PW8,G334
PW26,G247
PW32,G277
PW8,G388
PW42,G156
PW35,G333
PW40,G241
PW2,G228
PW14,G187
PW20,G355
PW31,G309
PW11,G351
PW21,G76
PW0,G215
PW2,G373
PW21,G144
PW29,G214
PW48,G56
PW44,G378
PW45,G303
PW30,G126
PW35,G87
PW45,G12
PW18,G338
PW7,G32
PW30,G69
PW26,G258
PW12,G249
PW13,G256
PW12,G244
PW35,G295
PW1,G343
PW30,G378
PW7,G397
PW23,G4
PW23,G388
PW15,G394
PW40,G44
PW30,G180
PW35,G193
PW9,G333
PW26,G336
PW33,G131
PW7,G373
PW13,G110
PW37,G125
PW10,G3
PW20,G392
PW49,G170
PW46,G228
PW0,G49
PW39,G51
PW33,G323
PW45,G1
PW19,G326
PW48,G385
PW14,G65
PW32,G383
PW9,G200
PW20,G368
PW17,G250
PW12,G117
PW9,G132
PW21,G284
PW0,G320
PW44,G310
PW19,G158
PW25,G110
PW16,G205
PW22,G58
PW46,G246
PW35,G353
PW37,G215
PW19,G242
PW14,G16
PW39,G75
PW5,G166
PW16,G190
PW4,G70
PW1,G248
PW16,G328
PW13,G257
PW37,G330
PW8,G159
PW10,G96
PW15,G318
PW3,G312
PW20,G72
PW10,G382
PW2,G367
PW28,G192
PW19,G87
PW21,G119
PW32,G41
PW43,G356
PW49,G326
PW4,G66
PW48,G146
PW8,G52
PW8,G122
PW33,G346
PW0,G342
PW38,G373
PW24,G96
PW35,G366
PW48,G38
PW38,G291
PW15,G338
PW30,G243
PW2,G39
PW46,G390
PW16,G47
PW4,G214
PW29,G226
PW4,G19
PW26,G338
PW13,G257
PW8,G114
PW43,G251
PW26,G123
PW20,G391
PW45,G135
PW14,G29
PW2,G83
PW47,G211
PW13,G131
PW1,G3
PW3,G396
PW38,G220
PW0,G267
PW17,G163
PW43,G320
PW35,G128
PW15,G362
PW35,G292
PW14,G367
PW8,G209
PW29,G263
PW23,G82
PW42,G181
PW33,G172
PW48,G27
PW9,G193
PW37,G273
PW9,G107
PW35,G35
PW33,G125
PW44,G65
PW48,G264
PW11,G272
PW7,G166
PW6,G32
PW39,G24
PW22,G216
PW36,G383
PW4,G74
PW42,G367
PW23,G189
PW7,G182
PW8,G312
PW9,G221
PW39,G189
PW48,G348
PW21,G16
PW35,G17
PW24,G390
PW14,G247
PW29,G79
PW14,G247
PW39,G223
PW19,G203
PW19,G299
PW30,G16
PW34,G341
PW34,G1
PW15,G163
PW37,G225
PW44,G393
PW10,G279
PW18,G232
PW11,G76
PW43,G307
PW33,G95
PW48,G209
PW23,G244
PW45,G285
PW30,G244
PW31,G250
PW27,G117
PW43,G395
PW26,G58
PW46,G262
PW3,G244
PW27,G262
PW20,G117
PW25,G302
PW10,G20
PW40,G336
PW17,G358
PW26,G394
PW26,G181
PW3,G168
PW14,G254
PW21,G195
PW20,G83
PW32,G270
PW33,G271
PW48,G155
PW49,G264
PW0,G74
PW34,G343
PW37,G172
PW25,G41
PW34,G62
PW20,G371
PW48,G274
PW35,G275
PW0,G197
PW36,G340
PW25,G66
PW43,G264
PW9,G150
PW36,G78
PW33,G36
PW14,G347
PW33,G318
PW38,G323
PW34,G209
PW26,G306
PW25,G132
PW14,G386
PW23,G294
PW27,G161
PW29,G145
PW16,G334
PW15,G398
