pathway_id,gene
PW35,G66
PW48,G374
PW35,G258
PW18,G132
PW29,G381
PW29,G47
PW14,G243
PW38,G141
PW42,G277
PW25,G229
PW46,G70
PW21,G181
PW0,G117
PW26,G58
PW2,G384
PW7,G241
PW32,G274
PW2,G182
PW29,G177
PW7,G287
PW45,G275
PW16,G141
PW24,G3
PW12,G362
PW3,G128
PW10,G14
PW8,G117
PW30,G66
PW37,G336
PW40,G378
PW48,G165
PW48,G85
PW33,G308
PW4,G122
PW38,G330
PW16,G74
PW14,G124
PW3,G37
PW43,G123
PW6,G285
PW12,G148
PW37,G373
PW19,G110
PW10,G144
PW1,G25
PW2,G169
PW24,G51
PW9,G340
PW23,G237
PW17,G84
PW35,G3
PW9,G127
PW11,G378
PW49,G378
PW1,G379
PW43,G189
PW10,G370
PW40,G244
PW22,G193
PW10,G388
PW36,G312
PW28,G280
PW9,G99
PW24,G259
PW35,G75
PW18,G367
PW8,G126
PW4,G251
PW23,G366
PW25,G17
PW25,G6
PW14,G190
PW7,G179
PW1,G295
PW1,G313
PW23,G320
PW44,G395
PW49,G320
PW37,G303
PW26,G165
PW30,G41
PW15,G336
PW23,G329
PW35,G359
PW1,G12
PW2,G163
PW20,G114
PW11,G246
PW44,G176
PW41,G334
PW0,G387
PW42,G361
PW17,G221
PW31,G227
PW25,G3
PW40,G348
PW17,G292
PW3,G11
PW33,G89
PW42,G19
PW17,G323
PW6,G385
PW49,G250
PW38,G17
PW13,G59
PW29,G281
PW2,G386
PW45,G223
PW24,G226
PW0,G323
PW46,G298
PW35,G355
PW38,G267
PW32,G230
PW33,G218
PW14,G256
PW30,G301
PW6,G245
PW4,G155
PW33,G244
PW47,G121
PW30,G246
PW43,G328
PW45,G190
PW5,G163
PW24,G153
PW16,G360
PW27,G301
PW23,G321
PW0,G316
PW31,G159
PW26,G330
PW18,G58
PW8,G383
PW31,G243
PW6,G333
PW27,G295
PW5,G197
PW39,G42
PW15,G320
PW34,G24
PW43,G279
PW38,G187
PW44,G363
PW32,G223
PW33,G166
PW48,G36
PW17,G348
PW2,G168
PW45,G388
PW39,G158
PW29,G245
PW12,G244
PW44,G24
PW39,G354
PW38,G132
PW2,G321
PW7,G331
PW6,G225
PW26,G304
PW34,G362
PW9,G58
PW36,G160
PW20,G326
PW1,G192
PW49,G52
PW13,G225
PW12,G383
PW33,G20
PW15,G111
PW2,G67
PW13,G119
PW26,G59
PW3,G103
PW19,G214
PW39,G262
PW46,G390
PW41,G160
PW41,G65
PW13,G46
PW13,G280
PW41,G55
PW1,G368
PW20,G326
PW36,G315
PW28,G244
PW43,G368
PW22,G343
PW38,G20
PW38,G189
PW8,G19
PW0,G367
PW44,G200
PW4,G374
PW15,G196
PW8,G341
PW1,G281
PW45,G340
PW3,G181
PW48,G233
PW32,G153
PW14,G346
PW6,G363
PW16,G349
PW26,G289
PW11,G67
PW26,G152
PW29,G67
PW13,G373
PW29,G47
PW37,G250
PW5,G120
PW33,G119
PW49,G341
PW3,G128
PW22,G95
PW2,G220
PW30,G244
PW9,G368
PW29,G167
PW35,G189
PW20,G122
PW33,G32
PW0,G164
PW29,G303
PW40,G377
PW48,G350
PW14,G182
PW8,G229
PW26,G344
PW26,G83
PW2,G334
PW28,G247
PW46,G8
PW5,G355
PW33,G145
PW16,G373
PW14,G131
PW20,G244
PW6,G338
PW31,G347
PW2,G85
PW40,G16
PW19,G309
PW28,G181
PW32,G261
PW34,G15
PW4,G200
PW22,G51
PW15,G356
PW37,G341
PW43,G173
PW41,G98
PW13,G345
PW5,G208
PW41,G253
PW32,G38
PW29,G224
PW18,G156
PW36,G367
PW40,G274
PW2,G74
PW33,G369
PW16,G243
PW4,G25
PW15,G73
PW27,G377
PW26,G383
PW11,G139
PW28,G307
PW47,G325
PW22,G56
PW35,G383
PW3,G43
PW35,G310
PW30,G327
PW46,G108
PW17,G218
PW8,G146
PW22,G254
PW32,G278
PW13,G312
PW41,G386
PW25,G99
PW9,G18
PW36,G253
PW18,G8
PW26,G14
PW30,G141
PW34,G378
PW28,G107
PW37,G171
PW0,G275
PW21,G282
PW17,G82
PW15,G361
PW8,G158
PW36,G49
PW12,G373
PW25,G353
PW11,G216
PW25,G24
PW19,G327
PW44,G64
PW26,G174
PW16,G334
PW29,G299
PW14,G203
PW32,G189
PW34,G228
PW34,G88
PW10,G47
PW25,G133
PW46,G44
PW45,G177
PW21,G166
PW24,G25
PW27,G221
PW43,G125
PW45,G355
PW38,G246
PW11,G282
PW43,G398
PW11,G41
PW12,G145
PW48,G257
PW8,G352
PW27,G337
PW37,G180
PW6,G302
PW44,G270
PW38,G132
PW22,G68
PW3,G32
PW32,G292
PW47,G338
PW42,G161
PW37,G351
PW33,G193
PW26,G250
PW25,G139
PW23,G172
PW44,G391
PW21,G206
PW24,G45
PW20,G290
PW14,G68
PW49,G255
PW14,G95
PW1,G90
PW31,G150
PW35,G130
PW37,G108
PW2,G103
PW17,G134
PW28,G336
PW28,G40
PW15,G378
PW48,G266
PW40,G366
PW9,G220
PW18,G399
PW7,G250
PW8,G266
PW3,G247
PW32,G209
PW0,G252
