pathway_id,gene
PW32,G75
PW19,G377
PW25,G24
PW35,G313
PW24,G84
PW36,G90
PW7,G360
PW23,G103
PW27,G226
PW21,G250
PW6,G114
PW49,G75
PW19,G64
PW1,G132
PW22,G315
PW1,G333
PW17,G327
PW32,G148
PW18,G232
PW14,G3
PW7,G261
PW13,G312
PW37,G231
PW36,G356
PW9,G373
PW7,G387
PW41,G307
PW6,G59
PW0,G281
PW19,G295
PW44,G113
PW39,G255
PW42,G13
PW20,G81
PW26,G169
PW0,G25
PW4,G131
PW11,G391
PW35,G243
PW14,G176
PW22,G352
PW4,G343
PW23,G16
PW38,G226
PW19,G335
PW36,G330
PW8,G306
PW49,G124
PW31,G56
PW15,G25
PW37,G204
PW40,G17
PW41,G366
PW23,G92
PW48,G328
PW38,G1
PW15,G243
PW44,G76
PW43,G24
PW3,G253
PW1,G244
PW0,G20
PW46,G52
PW10,G341
PW48,G83
PW30,G58
PW15,G147
PW41,G224
PW30,G393
PW38,G291
PW21,G296
PW26,G287
PW1,G168
PW16,G1
PW24,G244
PW25,G329
PW28,G69
PW18,G266
PW23,G24
PW40,G3
PW20,G232
PW0,G290
PW19,G295
PW2,G80
PW15,G228
PW24,G214
PW35,G182
PW30,G345
PW25,G237
PW4,G166
PW33,G131
PW11,G78
PW29,G285
PW41,G306
PW17,G279
PW2,G299
PW18,G279
PW41,G382
PW28,G142
PW46,G153
PW14,G396
PW9,G128
PW44,G341
PW25,G133
PW46,G330
PW45,G377
PW48,G280
PW45,G229
PW1,G221
PW3,G281
PW3,G88
PW6,G42
PW15,G393
PW17,G79
PW36,G247
PW33,G337
PW14,G384
PW48,G176
PW13,G31
PW24,G117
PW8,G148
PW15,G80
PW33,G103
PW25,G326
PW31,G19
PW5,G348
PW2,G156
PW21,G166
PW3,G110
PW11,G306
PW8,G18
PW22,G40
PW28,G329
PW30,G44
PW3,G158
PW4,G228
PW31,G352
PW32,G187
PW23,G203
PW13,G141
PW37,G380
PW29,G46
PW32,G175
PW20,G193
PW40,G335
PW18,G295
PW19,G197
PW49,G377
PW33,G153
PW20,G25
PW21,G340
PW46,G37
PW46,G117
PW43,G333
PW28,G179
PW27,G245
PW45,G273
PW7,G163
PW17,G308
PW30,G49
PW28,G47
PW38,G237
PW45,G301
PW16,G211
PW2,G58
PW12,G189
PW15,G264
PW43,G85
PW36,G170
PW14,G35
PW13,G13
PW42,G385
PW27,G177
PW49,G379
PW29,G190
PW30,G14
PW22,G320
PW31,G304
PW31,G108
PW16,G305
PW9,G251
PW10,G3
PW5,G363
PW6,G396
PW11,G53
PW41,G258
PW36,G187
PW0,G123
PW45,G229
PW42,G257
PW48,G45
PW23,G74
PW23,G158
PW20,G232
