pathway_id,gene
PW20,G35
PW1,G158
PW34,G341
PW16,G368
PW1,G318
PW17,G388
PW8,G281
PW46,G342
PW38,G370
PW40,G195
PW29,G356
PW17,G334
PW9,G228
PW35,G294
PW36,G81
PW42,G1
PW2,G165
PW45,G3
PW35,G235
PW25,G280
PW38,G279
PW25,G93
PW49,G127
PW30,G100
PW28,G214
PW3,G359
PW2,G363
PW13,G160
PW26,G321
PW24,G323
PW1,G374
PW23,G38
PW17,G328
PW39,G311
PW13,G381
PW21,G318
PW3,G343
PW31,G262
PW44,G377
PW42,G309
PW33,G145
PW17,G229
PW23,G156
PW33,G141
PW34,G215
PW14,G228
PW29,G292
PW14,G3
PW25,G159
PW17,G180
PW18,G253
PW30,G255
PW37,G30
PW10,G171
PW22,G386
PW9,G321
PW36,G338
PW17,G295
PW1,G312
PW20,G84
PW31,G4
PW2,G206
PW15,G320
PW37,G168
PW10,G355
PW30,G173
PW30,G244
PW8,G250
PW35,G12
PW18,G257
PW46,G208
PW44,G290
PW37,G92
PW32,G280
PW47,G267
PW19,G250
PW15,G293
PW9,G302
PW38,G218
PW21,G66
PW11,G33
PW48,G277
PW23,G228
PW16,G93
PW36,G3
PW12,G327
PW35,G90
PW33,G250
PW38,G351
PW26,G180
PW35,G114
PW1,G46
PW12,G273
PW17,G130
PW2,G233
PW29,G167
PW0,G223
PW30,G20
PW46,G119
PW20,G249
PW7,G301
PW44,G368
PW24,G259
PW24,G377
PW10,G24
PW38,G94
PW44,G277
PW49,G295
PW0,G87
PW7,G23
PW8,G88
PW36,G117
PW30,G243
PW19,G200
PW14,G214
PW28,G361
PW35,G172
PW45,G161
PW42,G103
PW37,G279
PW2,G382
PW28,G392
PW29,G368
PW8,G306
PW31,G128
PW14,G14
PW25,G326
PW38,G166
PW3,G144
PW49,G275
PW21,G112
PW44,G37
PW30,G233
PW15,G63
PW35,G212
PW2,G197
PW15,G367
PW17,G137
PW8,G326
PW10,G395
PW27,G227
PW23,G378
PW33,G160
PW48,G16
PW18,G115
PW1,G152
PW0,G118
PW47,G94
PW30,G367
PW17,G264
PW31,G390
PW18,G41
PW33,G6
PW12,G84
PW36,G371
PW44,G380
PW17,G155
PW2,G247
PW27,G195
PW22,G281
PW2,G310
PW0,G347
PW43,G108
PW19,G390
PW48,G250
PW15,G339
PW35,G334
PW48,G336
PW43,G96
PW9,G182
PW14,G158
PW43,G342
PW17,G80
PW32,G163
PW35,G69
PW44,G292
PW31,G182
PW49,G338
PW18,G114
PW38,G366
PW3,G222
PW33,G274
PW27,G228
PW29,G144
PW8,G394
PW3,G171
PW30,G83
PW6,G299
PW38,G346
PW1,G383
PW0,G290
PW3,G13
PW30,G302
PW7,G399
PW4,G16
PW3,G117
PW22,G232
PW45,G219
PW48,G129
PW9,G345
PW39,G47
PW12,G389
PW3,G340
PW8,G175
PW30,G17
PW13,G247
PW31,G84
PW3,G13
PW6,G120
PW11,G103
PW13,G321
PW20,G66
PW12,G49
PW47,G163
PW15,G148
PW10,G145
PW35,G134
PW11,G41
PW45,G262
PW43,G214
PW14,G327
PW30,G145
PW45,G306
PW0,G66
PW41,G351
PW43,G16
PW33,G51
PW29,G348
PW24,G126
PW0,G132
PW20,G64
PW41,G46
PW22,G53
PW0,G122
PW3,G135
PW26,G396
PW46,G56
PW29,G15
PW40,G244
PW15,G303
PW3,G154
PW44,G92
PW15,G285
PW35,G340
PW3,G220
PW21,G247
PW33,G110
PW46,G88
PW48,G147
PW0,G216
PW22,G266
PW32,G275
PW13,G102
PW46,G396
PW39,G224
PW6,G157
PW47,G245
PW48,G75
PW43,G32
PW13,G111
PW1,G133
PW10,G343
PW45,G320
PW43,G291
PW25,G377
PW11,G165
PW20,G325
PW17,G205
PW42,G67
PW43,G278
PW21,G396
PW36,G153
PW14,G196
PW4,G189
PW29,G336
PW48,G294
PW32,G324
PW42,G141
PW29,G307
PW7,G369
PW24,G329
PW26,G334
PW3,G98
PW48,G146
PW38,G99
PW8,G304
PW29,G174
PW4,G250
PW11,G25
PW1,G362
PW29,G158
PW12,G281
PW19,G393
PW42,G289
PW42,G8
PW6,G289
PW40,G89
PW45,G363
PW4,G329
PW13,G393
PW42,G349
PW24,G70
PW20,G361
PW44,G103
PW6,G109
PW3,G383
PW19,G176
PW24,G52
PW15,G264
PW34,G270
PW40,G295
PW4,G49
PW37,G318
PW31,G360
PW31,G226
PW14,G394
PW32,G43
PW14,G52
PW16,G366
PW13,G3
PW34,G396
PW16,G196
PW14,G385
PW35,G131
PW20,G301
PW26,G125
PW12,G385
PW10,G75
PW22,G374
PW39,G381
PW14,G76
PW25,G72
PW43,G44
PW28,G58
PW34,G96
PW19,G172
PW28,G330
PW27,G181
PW46,G358
PW41,G303
PW49,G139
PW7,G180
PW27,G8
PW44,G27
PW47,G330
PW48,G351
PW33,G168
PW4,G333
PW9,G59
PW22,G167
PW4,G272
PW33,G96
PW10,G309
PW47,G209
PW18,G251
PW49,G114
PW20,G328
PW26,G257
PW32,G130
PW37,G24
PW11,G391
PW41,G378
PW18,G320
PW33,G261
PW20,G207
PW5,G28
PW24,G83
PW23,G1
PW35,G229
PW29,G209
PW14,G297
PW26,G397
PW0,G164
PW2,G86
PW11,G203
PW45,G193
PW29,G23
PW49,G222
PW15,G331
PW36,G42
PW22,G363
PW45,G224
PW38,G331
PW34,G377
PW38,G373
PW31,G333
PW8,G290
PW26,G83
PW25,G267
PW42,G110
PW46,G191
PW22,G111
PW32,G256
PW25,G257
PW39,G299
PW48,G125
PW5,G82
PW23,G55
PW14,G355
PW37,G333
PW4,G215
PW2,G255
PW29,G335
PW34,G248
PW14,G258
PW44,G244
PW28,G317
PW11,G313
PW9,G119
PW8,G150
PW40,G135
PW13,G36
PW13,G305
PW40,G311
PW37,G223
PW40,G304
PW17,G58
PW32,G351
PW15,G69
PW45,G378
PW16,G189
PW42,G287
PW38,G249
PW45,G168
PW7,G47
PW34,G32
PW18,G246
PW9,G31
PW23,G160
PW29,G74
PW10,G279
PW1,G371
PW47,G125
PW6,G383
PW12,G262
PW25,G332
PW9,G231
PW26,G38
PW12,G325
PW48,G221
PW1,G243
PW19,G315
PW2,G65
PW22,G133
PW12,G226
PW18,G87
PW37,G221
PW23,G299
PW15,G16
PW26,G38
PW49,G201
PW19,G332
PW17,G197
PW14,G107
PW36,G180
PW22,G253
PW2,G350
PW26,G270
PW41,G232
PW35,G192
PW34,G281
PW30,G354
PW4,G225
PW41,G131
PW36,G254
PW4,G1
PW44,G190
PW37,G398
PW33,G47
PW6,G138
PW11,G139
PW32,G118
PW48,G264
PW48,G220
PW8,G251
PW7,G278
PW22,G28
PW26,G12
PW5,G286
PW39,G78
PW15,G172
PW19,G115
PW22,G316
PW32,G139
PW43,G40
PW37,G107
PW11,G295
PW14,G157
PW0,G284
PW33,G271
PW19,G148
PW6,G156
PW18,G342
PW43,G243
PW15,G209
PW6,G270
PW37,G58
PW34,G177
PW17,G70
PW5,G352
PW35,G223
PW48,G142
