pathway_id,gene
PW39,G108
PW49,G132
PW25,G25
PW8,G37
PW37,G302
PW47,G270
PW42,G93
PW28,G270
PW41,G125
PW13,G342
PW16,G305
PW3,G168
PW35,G183
PW31,G227
PW8,G137
PW20,G256
PW0,G110
PW14,G165
PW8,G172
PW21,G285
PW12,G171
PW22,G366
PW14,G117
PW41,G241
PW33,G383
PW48,G59
PW5,G328
PW25,G84
PW1,G75
PW1,G192
PW38,G333
PW49,G315
PW29,G191
PW28,G203
PW2,G111
PW49,G285
PW8,G53
PW42,G333
PW22,G320
PW35,G272
PW49,G134
PW48,G255
PW23,G390
PW32,G214
PW35,G301
PW7,G399
PW34,G192
PW24,G212
PW45,G176
PW0,G133
PW33,G147
PW36,G333
PW11,G392
PW22,G360
PW21,G78
PW45,G116
PW40,G6
PW11,G388
PW25,G338
PW33,G64
PW17,G327
PW32,G82
PW4,G226
PW3,G193
PW35,G396
PW29,G340
PW19,G221
PW17,G148
PW38,G302
PW3,G343
PW2,G262
PW4,G141
PW13,G277
PW25,G327
PW48,G375
PW27,G330
PW12,G189
PW20,G395
PW0,G24
PW23,G118
PW42,G134
PW40,G225
PW43,G29
PW23,G345
PW1,G222
PW45,G389
PW17,G279
PW15,G170
PW31,G201
PW2,G245
PW3,G333
PW44,G274
PW7,G255
PW30,G159
PW15,G181
PW22,G67
PW11,G329
PW4,G65
PW15,G376
PW8,G173
PW46,G296
PW36,G275
PW8,G28
PW45,G212
PW0,G197
PW16,G119
PW2,G46
PW30,G127
PW8,G342
PW18,G341
PW28,G126
PW42,G346
PW27,G331
PW23,G52
PW9,G76
PW19,G141
PW30,G208
PW13,G356
PW40,G244
PW0,G318
PW15,G321
PW28,G195
PW11,G103
PW36,G189
PW12,G250
PW10,G223
PW30,G388
PW6,G125
PW12,G320
PW20,G227
PW42,G267
PW21,G24
PW38,G294
PW0,G383
PW28,G313
PW0,G231
PW27,G320
PW29,G209
PW48,G259
PW32,G157
PW15,G228
PW3,G352
PW3,G129
PW29,G169
PW46,G111
PW30,G32
PW33,G40
PW36,G203
PW1,G378
PW15,G193
PW2,G113
PW4,G23
PW35,G206
PW8,G383
PW47,G308
PW38,G155
PW39,G31
PW9,G19
PW18,G348
PW26,G10
PW48,G70
PW38,G16
PW46,G367
PW24,G363
PW35,G373
PW23,G332
PW15,G176
PW44,G283
PW9,G205
PW43,G297
PW17,G16
PW28,G249
PW34,G46
PW26,G160
PW9,G161
PW45,G377
PW24,G244
PW3,G329
PW7,G393
PW36,G132
PW9,G378
PW41,G65
PW21,G381
PW22,G239
PW0,G341
PW10,G385
PW23,G12
PW22,G160
PW41,G271
PW4,G63
PW26,G357
PW0,G131
PW8,G65
PW20,G381
PW49,G95
PW9,G373
PW18,G131
PW16,G165
PW22,G103
PW6,G66
PW17,G250
PW14,G175
PW33,G334
PW45,G89
PW35,G32
PW43,G360
PW24,G226
PW12,G167
PW16,G309
PW28,G369
PW46,G180
PW13,G232
PW37,G366
PW29,G68
PW26,G394
