pathway_id,gene
PW24,G326
PW2,G160
PW28,G161
PW2,G3
PW35,G165
PW35,G325
PW43,G155
PW36,G370
PW11,G333
PW48,G298
PW48,G126
PW44,G113
PW40,G294
PW21,G355
PW4,G283
PW32,G181
PW30,G200
PW30,G235
PW45,G336
PW22,G396
PW32,G355
PW15,G243
PW37,G373
PW13,G24
PW30,G187
PW31,G167
PW34,G164
PW29,G90
PW19,G141
PW10,G332
PW13,G357
PW40,G45
PW26,G244
PW23,G163
PW36,G323
PW38,G266
PW45,G25
PW34,G342
PW24,G312
PW36,G159
PW0,G344
PW7,G132
PW9,G209
PW43,G257
PW37,G383
PW18,G231
PW17,G172
PW17,G332
PW43,G373
PW9,G174
PW15,G208
PW49,G47
PW15,G254
PW1,G313
PW48,G264
PW0,G359
PW31,G147
PW42,G144
PW15,G120
PW44,G160
PW14,G303
PW18,G368
PW31,G363
PW26,G216
PW19,G156
PW11,G201
PW29,G93
PW23,G320
PW2,G282
PW17,G40
PW14,G348
PW49,G159
PW37,G35
PW28,G90
PW44,G172
PW22,G16
PW49,G24
PW11,G168
PW38,G318
PW35,G341
PW2,G281
PW15,G13
PW42,G299
PW32,G341
PW4,G328
PW26,G245
PW24,G256
PW17,G83
PW3,G348
PW30,G229
PW20,G250
PW35,G186
PW12,G67
PW11,G315
PW35,G4
PW17,G275
PW1,G69
PW24,G365
PW43,G66
PW28,G40
PW2,G302
PW27,G158
PW6,G49
PW4,G40
PW33,G32
PW2,G220
PW16,G394
PW27,G148
PW47,G46
PW36,G19
PW27,G324
PW8,G115
PW48,G37
PW29,G83
PW29,G323
PW22,G63
PW25,G230
PW45,G281
PW27,G165
PW4,G148
PW42,G333
PW38,G62
PW22,G329
PW44,G192
PW28,G130
PW2,G278
PW47,G76
PW31,G377
PW45,G267
PW10,G270
PW38,G320
PW36,G343
PW31,G382
PW22,G261
PW46,G193
PW30,G328
PW3,G351
PW24,G271
PW24,G263
PW13,G3
PW14,G277
PW20,G74
PW22,G102
PW12,G347
PW45,G86
PW42,G373
PW31,G58
PW8,G232
PW17,G8
PW37,G233
PW12,G51
PW25,G341
PW35,G240
PW19,G158
PW48,G378
PW35,G103
PW38,G79
PW10,G58
PW31,G247
PW33,G24
PW14,G398
PW48,G299
PW16,G74
PW14,G287
PW37,G190
PW11,G266
PW33,G197
PW4,G165
PW29,G262
PW33,G374
PW33,G167
PW38,G173
PW5,G250
PW3,G145
PW36,G345
PW29,G141
PW15,G146
PW37,G304
PW43,G271
PW26,G225
PW49,G6
PW8,G41
PW26,G328
PW39,G47
PW13,G362
PW4,G67
PW18,G68
PW26,G295
PW8,G342
PW37,G339
PW47,G43
PW11,G338
PW38,G170
PW29,G286
PW31,G228
PW24,G360
PW18,G44
PW45,G214
PW32,G348
PW29,G52
PW2,G378
PW14,G70
PW3,G255
PW35,G231
PW42,G131
PW43,G57
PW26,G317
PW5,G127
PW7,G209
PW5,G114
PW48,G125
PW28,G148
PW42,G388
PW16,G295
PW1,G180
PW27,G141
PW12,G306
PW6,G193
PW21,G379
PW15,G16
PW13,G42
PW46,G227
PW25,G203
PW8,G81
PW1,G146
PW25,G310
PW3,G89
PW35,G59
PW40,G398
PW4,G326
PW13,G279
PW44,G356
PW14,G84
PW7,G169
PW25,G135
PW31,G377
PW36,G137
PW4,G19
PW39,G146
PW43,G305
PW15,G31
PW37,G251
PW28,G380
PW38,G219
PW3,G117
PW30,G171
PW12,G141
PW21,G292
PW48,G215
PW29,G312
PW4,G152
PW45,G222
PW39,G386
PW5,G347
PW49,G14
PW6,G251
PW8,G110
PW10,G310
PW23,G127
PW22,G20
PW16,G14
PW12,G277
PW30,G31
PW19,G168
PW30,G292
PW23,G307
PW20,G154
PW40,G206
PW11,G243
PW43,G172
PW24,G328
PW4,G281
PW1,G206
PW28,G23
PW17,G384
PW14,G23
PW13,G335
PW19,G100
PW6,G35
PW25,G354
PW34,G223
PW12,G355
PW5,G221
PW27,G128
PW42,G232
PW44,G295
PW43,G367
PW14,G294
PW37,G395
PW21,G33
PW29,G231
PW25,G83
PW40,G33
PW24,G118
PW38,G85
PW33,G17
PW25,G281
PW14,G209
PW37,G3
PW41,G242
PW11,G358
PW22,G122
PW17,G261
PW48,G103
PW13,G75
PW12,G145
PW36,G343
PW29,G250
PW34,G56
PW28,G378
PW3,G385
PW29,G267
PW19,G271
PW11,G388
PW11,G52
PW18,G176
PW34,G72
PW7,G142
PW47,G329
PW23,G139
PW32,G369
PW19,G396
PW11,G3
PW23,G396
PW31,G282
PW29,G215
PW3,G299
PW38,G361
PW38,G393
PW30,G381
PW49,G233
PW32,G331
PW45,G320
PW20,G20
PW22,G192
PW16,G303
PW31,G181
PW16,G189
PW3,G351
PW48,G182
PW7,G301
PW9,G139
PW35,G351
PW45,G75
PW1,G154
PW26,G270
PW17,G373
PW10,G252
PW44,G327
PW37,G228
PW37,G108
PW28,G212
PW9,G377
PW2,G153
PW29,G29
PW48,G134
PW45,G216
PW45,G249
PW29,G74
PW17,G384
PW26,G321
PW26,G31
PW4,G381
PW2,G262
PW43,G167
PW46,G11
PW33,G181
PW7,G330
PW48,G110
PW45,G247
PW40,G394
PW21,G145
PW34,G277
PW0,G157
PW44,G244
PW33,G157
PW14,G287
PW15,G124
PW1,G151
PW44,G144
PW15,G237
PW27,G334
PW36,G299
PW31,G285
PW38,G111
PW30,G338
PW30,G69
PW33,G99
PW2,G62
PW8,G355
PW20,G327
PW4,G340
PW31,G47
PW15,G253
PW26,G244
PW19,G95
PW9,G243
PW6,G275
PW28,G199
PW6,G314
PW38,G117
PW2,G228
PW35,G24
PW29,G122
PW22,G53
PW16,G261
PW20,G17
PW10,G340
PW4,G105
PW44,G92
PW5,G246
PW42,G168
PW8,G322
PW1,G88
PW23,G383
PW48,G315
PW9,G132
PW22,G302
PW8,G195
PW28,G237
PW34,G219
PW2,G228
PW45,G15
PW9,G130
PW48,G103
PW0,G243
PW32,G180
PW7,G47
PW47,G254
PW2,G117
PW36,G264
PW33,G309
PW47,G96
PW28,G38
PW19,G386
PW10,G133
PW26,G342
PW9,G144
PW36,G251
PW26,G377
PW0,G23
PW13,G270
PW26,G67
PW3,G114
PW3,G75
PW20,G163
PW24,G262
PW9,G298
PW11,G16
PW21,G223
PW4,G76
PW5,G335
PW17,G259
PW16,G341
PW8,G374
PW45,G103
PW15,G278
PW23,G247
PW1,G119
PW40,G114
PW2,G163
PW9,G4
PW37,G59
PW41,G70
PW35,G132
PW33,G3
PW35,G196
PW20,G191
PW14,G205
PW29,G163
PW48,G135
PW28,G180
PW13,G397
PW19,G274
PW18,G387
PW44,G74
PW38,G82
PW36,G351
PW8,G49
PW4,G338
PW49,G330
PW41,G346
PW32,G390
PW25,G333
PW30,G245
PW20,G67
PW28,G318
PW8,G295
PW40,G371
PW4,G299
PW24,G220
PW34,G1
PW39,G78
PW26,G273
PW0,G257
PW48,G311
PW35,G266
PW16,G255
PW30,G385
PW14,G209
PW0,G83
PW15,G129
PW24,G102
PW4,G88
PW9,G179
PW11,G17
