gene_u,gene_v,score
G0,G1,0.9
G1,G2,0.9
G2,G3,0.9
G3,G4,0.9
G4,G5,0.9
G5,G6,0.9
G6,G7,0.9
G7,G8,0.9
G8,G9,0.9
G9,G10,0.9
G10,G11,0.9
G11,G12,0.9
G12,G13,0.9
G13,G14,0.9
G14,G15,0.9
G15,G16,0.9
G16,G17,0.9
G17,G18,0.9
G18,G19,0.9
G19,G20,0.9
G20,G21,0.9
G21,G22,0.9
G22,G23,0.9
G23,G24,0.9
G24,G25,0.9
G25,G26,0.9
G26,G27,0.9
G27,G28,0.9
G28,G29,0.9
G29,G30,0.9
G30,G31,0.9
G31,G32,0.9
G32,G33,0.9
G33,G34,0.9
G34,G35,0.9
G35,G36,0.9
G36,G37,0.9
G37,G38,0.9
G38,G39,0.9
G39,G40,0.9
G40,G41,0.9
G41,G42,0.9
G42,G43,0.9
G43,G44,0.9
G44,G45,0.9
G45,G46,0.9
G46,G47,0.9
G47,G48,0.9
G48,G49,0.9
G49,G50,0.9
G50,G51,0.9
G51,G52,0.9
G52,G53,0.9
G53,G54,0.9
G54,G55,0.9
G55,G56,0.9
G56,G57,0.9
G57,G58,0.9
G58,G59,0.9
G59,G60,0.9
G60,G61,0.9
G61,G62,0.9
G62,G63,0.9
G63,G64,0.9
G64,G65,0.9
G65,G66,0.9
G66,G67,0.9
G67,G68,0.9
G68,G69,0.9
G69,G70,0.9
G70,G71,0.9
G71,G72,0.9
G72,G73,0.9
G73,G74,0.9
G74,G75,0.9
G75,G76,0.9
G76,G77,0.9
G77,G78,0.9
G78,G79,0.9
G79,G80,0.9
G80,G81,0.9
G81,G82,0.9
G82,G83,0.9
G83,G84,0.9
G84,G85,0.9
G85,G86,0.9
G86,G87,0.9
G87,G88,0.9
G88,G89,0.9
G89,G90,0.9
G90,G91,0.9
G91,G92,0.9
G92,G93,0.9
G93,G94,0.9
G94,G95,0.9
G95,G96,0.9
G96,G97,0.9
G97,G98,0.9
G98,G99,0.9
G99,G100,0.9
G100,G101,0.9
G101,G102,0.9
G102,G103,0.9
G103,G104,0.9
G104,G105,0.9
G105,G106,0.9
G106,G107,0.9
G107,G108,0.9
G108,G109,0.9
G109,G110,0.9
G110,G111,0.9
G111,G112,0.9
G112,G113,0.9
G113,G114,0.9
G114,G115,0.9
G115,G116,0.9
G116,G117,0.9
G117,G118,0.9
G118,G119,0.9
G119,G120,0.9
G120,G121,0.9
G121,G122,0.9
G122,G123,0.9
G123,G124,0.9
G124,G125,0.9
G125,G126,0.9
G126,G127,0.9
G127,G128,0.9
G128,G129,0.9
G129,G130,0.9
G130,G131,0.9
G131,G132,0.9
G132,G133,0.9
G133,G134,0.9
G134,G135,0.9
G135,G136,0.9
G136,G137,0.9
G137,G138,0.9
G138,G139,0.9
G139,G140,0.9
