gene_u,gene_v,score
G0,G1,0.8635011265892442
G1,G2,0.8073865991438193
G2,G3,0.9
G3,G4,0.8373494549565854
G4,G5,0.7543562809210688
G5,G6,0.7133740919696567
G6,G7,0.865772684890473
G7,G8,0.729553346492037
G8,G9,0.9
G9,G10,0.8154556109353092
G10,G11,0.8511425025536201
G11,G12,0.8417520325514829
G12,G13,0.728283841612434
G13,G14,0.9
G14,G15,0.7027147023488746
G15,G16,0.8875160268798608
G16,G17,0.9407292415482624
G17,G18,0.91456074766371
G18,G19,0.7763342186481785
G19,G20,0.7782259743252069
G20,G21,0.9
G21,G22,0.8589279084186556
G22,G23,0.8339939103914987
G23,G24,0.7883974756499297
G24,G25,0.7992522206405627
G25,G26,0.7359454927023319
G26,G27,0.8930049317609738
G27,G28,0.9
G28,G29,0.8943410193243512
G29,G30,0.7412916472702292
G30,G31,0.8021449255097013
G31,G32,0.9
G32,G33,0.8228560166663063
G33,G34,0.7950761254446174
G34,G35,0.7799844745999076
G35,G36,0.7294525204823781
G36,G37,0.8129407915420066
G37,G38,0.8981310185176115
G38,G39,0.8568534921693725
G39,G40,0.8780706634336943
G40,G41,0.9129098929243326
G41,G42,0.9
G42,G43,0.7954016383452132
G43,G44,0.9
G44,G45,0.8610292483094276
G45,G46,0.9
G46,G47,0.8178066181099233
G47,G48,0.7847992385232752
G48,G49,0.87280902662737
G49,G50,0.7087446637338901
G50,G51,0.8668494798243838
G51,G52,0.7913175408436391
G52,G53,0.8750732464608435
G53,G54,0.9
G54,G55,0.7114724752234034
G55,G56,0.7632094188166343
G56,G57,0.7845043075483792
G57,G58,0.8121789574755828
G58,G59,0.8750802647276692
G59,G60,0.92258694499659
G60,G61,0.7811732257416386
G61,G62,0.8521469974656911
G62,G63,0.9202696185691204
G63,G64,0.7235046637105411
G64,G65,0.7265274799272105
G65,G66,0.8710434265783612
G66,G67,0.8177836727138804
G67,G68,0.9
G68,G69,0.9
G69,G70,0.773362254185868
G70,G71,0.9076780914413436
G71,G72,0.9
G72,G73,0.9
G73,G74,0.7436208391240193
G74,G75,0.8309734219589633
G75,G76,0.9
G76,G77,0.7902804621903251
G77,G78,0.9
G78,G79,0.8404790634414452
G79,G80,0.8893969756917772
G80,G81,0.8517533646494916
G81,G82,0.9432226350331264
G82,G83,0.9009580355877316
G83,G84,0.7808348420202701
G84,G85,0.9048308352767352
G85,G86,0.7252205430917759
G86,G87,0.9
G87,G88,0.9032484355553626
G88,G89,0.9
G89,G90,0.7129565996621826
G90,G91,0.813680524108553
G91,G92,0.7688485174679424
G92,G93,0.8525541452945711
G93,G94,0.7346095720710679
G94,G95,0.8713268634000622
G95,G96,0.8800403109957335
G96,G97,0.94936131765093
G97,G98,0.9
G98,G99,0.839551279494384
G99,G100,0.7272924950642319
G100,G101,0.8304089921476407
G101,G102,0.9
G102,G103,0.9247476985108478
G103,G104,0.7827785378469043
G104,G105,0.7252369465391723
G105,G106,0.7605250075387422
G106,G107,0.9395188669881134
G107,G108,0.8134208794314979
G108,G109,0.9
G109,G110,0.882511599911063
G110,G111,0.9
G111,G112,0.8653575660044309
G112,G113,0.7717768155814774
G113,G114,0.9
G114,G115,0.7753772481589944
G115,G116,0.7607278812940483
G116,G117,0.8346355611525473
G117,G118,0.7934450086077569
G118,G119,0.8651428150705447
G119,G120,0.9
G120,G121,0.7664243738507704
G121,G122,0.9
G122,G123,0.9
G123,G124,0.7829920547784069
G124,G125,0.8426108069863512
G125,G126,0.9
G126,G127,0.772897801107364
G127,G128,0.9
G128,G129,0.9
G129,G130,0.9
G130,G131,0.7407480042628942
G131,G132,0.9352726345578882
G132,G133,0.9
G133,G134,0.9
G134,G135,0.9
G135,G136,0.9
G136,G137,0.8428796030015877
G137,G138,0.8449508056748517
G138,G139,0.9374745083962476
G139,G140,0.9205246747969954
G140,G141,0.7468991546699312
G141,G142,0.9
G142,G143,0.9
G143,G144,0.8669016546930042
G144,G145,0.9
G145,G146,0.9146339882125047
G146,G147,0.9
G147,G148,0.9473417357086666
G148,G149,0.8012147313185898
G149,G150,0.7740014163123388
G150,G151,0.7871663130103363
G151,G152,0.7837446198092219
G152,G153,0.853661996016666
G153,G154,0.9464409557621194
G154,G155,0.9
G155,G156,0.9
G156,G157,0.8109941073915883
G157,G158,0.9396738121563584
G158,G159,0.9
G159,G160,0.9
G160,G161,0.7891629846416339
G161,G162,0.9178906687858512
G162,G163,0.8006265271579933
G163,G164,0.9325093535087624
G164,G165,0.9
G165,G166,0.9
G166,G167,0.831099066641811
G167,G168,0.7004837369652521
G168,G169,0.8239003017429776
G169,G170,0.848617571824144
G170,G171,0.9
G171,G172,0.8774293972828673
G172,G173,0.9
G173,G174,0.7805047461150765
G174,G175,0.9
G175,G176,0.9
G176,G177,0.8858423479099795
G177,G178,0.8090568335660215
G178,G179,0.8909285535260463
G179,G180,0.9
G180,G181,0.9
G181,G182,0.8365504112588323
G182,G183,0.9241757453499402
G183,G184,0.7035710752668747
G184,G185,0.7962117374949654
G185,G186,0.8630423231523267
G186,G187,0.8931564723994114
G187,G188,0.7694701231506379
G188,G189,0.7895572763527221
G189,G190,0.8580871770593972
G190,G191,0.9059549840478898
G191,G192,0.7880380478247153
G192,G193,0.90111495969238
G193,G194,0.7089471423042986
G194,G195,0.9
G195,G196,0.7492799650652003
G196,G197,0.8048654234069444
G197,G198,0.9129198096832924
G198,G199,0.7273611363575314
G199,G200,0.9
G200,G201,0.8894119279290738
G201,G202,0.9
G202,G203,0.8358009348356013
G203,G204,0.7085036013009742
G204,G205,0.8157581551756526
G205,G206,0.9
G206,G207,0.9
G207,G208,0.9
G208,G209,0.9
G209,G210,0.936863027122858
G210,G211,0.846458005244055
G211,G212,0.9
G212,G213,0.8131168818403456
G213,G214,0.8261466713297991
G214,G215,0.9
G215,G216,0.8170214792431403
G216,G217,0.9036030009603494
G217,G218,0.9227908652797762
G218,G219,0.8414221112995263
G219,G220,0.894698569617771
G220,G221,0.7820625634899848
G221,G222,0.8599749983218392
G222,G223,0.8446050033757581
G223,G224,0.9425116049055564
G224,G225,0.7977505109840453
G225,G226,0.7136672971285607
G226,G227,0.9
G227,G228,0.7705466056065554
G228,G229,0.8226075317416357
G229,G230,0.727719491934312
G230,G231,0.9
G231,G232,0.9
G232,G233,0.922979174208674
G233,G234,0.9
G234,G235,0.9
G235,G236,0.9
